"μ","κ","α","β","σ0"
0.0638161266564322,0.03921438995729615,0.0880276086155645,0.9114760664121085,4.719926554980411
0.03766996215591247,0.04170555539652818,0.10412685905175921,0.8957731409482406,3.1865934962521143
0.13938104508857796,0.08698934832946632,0.09123760160982142,0.9086623983901785,9.8288153668584
0.05890424732951047,0.03643699767755123,0.10644610811425027,0.885626647250693,1.6834680919928766
0.08440781395024458,0.04215363406098325,0.07437726952280926,0.9242503889653534,3.1022455210175575
0.0718414262671624,0.08569145741531464,0.1263019409651763,0.8517923940891076,2.272387519491391
0.10050802022695314,0.06883741457367246,0.08169560087225414,0.9151666739224223,4.510534825128279
0.07186619033922226,0.015744341712256135,0.08026815371357754,0.9192470400482847,2.2967130253832475
0.0530579244334284,0.1457739199772633,0.11357255648274046,0.8567488117683931,2.657490461156264
0.11042838049964113,0.0649016873107993,0.06094804586362506,0.9389519541363748,3.900792207975901
0.06360539755011997,0.02050771560591087,0.059254243221158805,0.935371740256463,1.7629458536348925
0.040556007394444385,0.025393166131015776,0.07016636698433802,0.929733633015662,3.1050533730661525
0.027256533641338784,0.02520712961985698,0.0762211042806611,0.923678895719339,3.600108398054731
0.026743797554768318,0.05199853005610854,0.10132794228180339,0.8892309706872101,2.371178132699851
0.03996514941249482,0.060950428467171684,0.05901053234671007,0.9332648265414951,3.4461908714261233
0.049000417389185986,0.029830678442090693,0.05766961480632257,0.9350825282121855,3.332015386422472
0.05186224922345023,0.06503845088634037,0.08566778783749256,0.898476329295534,2.4112602672748147
0.04105190505632072,0.16700568247756964,0.07708519612778095,0.9102794875935086,3.991898993724548
0.05394102141842239,0.03619870482608433,0.09986904445101633,0.8746440900452456,1.2472148463638182
0.07772733685445926,0.48159489562822394,0.1454194992055783,0.7729398724095607,2.6073789650936945
0.06478774478189502,0.09595948046017545,0.09965144021274973,0.8960554784891828,3.4499357179413277
0.03325714903884025,0.025757657384153414,0.08232691110896595,0.9174940145297665,2.0218650631249595
0.03657451040013391,0.06446090864770676,0.13773121100142086,0.8621687889985796,3.731930383163431
